instance,n,m,average_uni,average_bi
0,4843,47073,2217.15,174.6
1,3920,39290,1894.45,996.8
10,929,8932,475.8,86.5
100,4898,48277,2417.3,44.55
101,4768,45419,2760.25,73.1
102,4401,44172,1949.5,104.0
103,8186,81751,3789.55,2048.9
104,5247,51351,2742.65,40.95
105,9031,88126,4033.45,266.55
106,4915,48113,2618.5,206.5
107,9448,92682,3510.3,81.85
108,4041,39921,2058.25,165.5
109,6812,66864,3635.8,281.05
11,3811,37388,1936.5,169.1
110,8841,86498,4630.95,307.35
111,3856,37793,2327.15,188.6
112,2426,24049,1282.3,100.6
113,5931,58677,2704.75,61.7
114,5990,58301,2749.0,228.55
115,1309,12512,696.7,47.8
116,1365,13503,628.1,322.8
117,8034,80349,4171.95,144.95
118,4018,39040,1855.6,150.55
119,5563,56313,2713.6,1418.25
12,3889,38879,2397.7,1271.4
120,9169,91011,4954.4,118.95
121,7960,78529,3849.4,149.85
122,9749,97573,3825.8,1981.85
123,9306,90878,6316.5,124.3
124,3291,31769,1703.3,168.35
125,6679,65501,3998.4,283.65
126,2768,26913,1415.8,144.8
127,4958,49652,2398.85,1238.15
128,7272,72723,3225.6,108.7
129,9751,97623,6363.8,3348.6
13,2388,23176,1171.1,43.8
130,5759,56915,3336.05,140.45
131,2455,24074,1278.1,97.9
132,5399,52834,2829.7,209.0
133,5273,52273,2330.55,48.65
134,3294,32630,1684.15,874.45
135,1848,18162,1000.6,80.4
136,5368,54046,2815.0,1452.0
137,7188,72242,3226.15,142.35
138,4115,41171,1554.7,831.0
139,8959,89912,4345.3,2294.85
14,3472,34689,1398.8,69.45
140,1445,14257,566.4,59.3
141,3931,39284,1895.0,122.55
142,2914,29083,1017.25,82.45
143,7626,74779,4387.15,176.8
144,7918,77910,4608.45,298.05
145,5007,50510,2576.15,114.75
146,1292,12484,478.6,80.25
147,3074,29878,1444.3,66.1
148,4122,41227,1798.05,915.95
149,8303,83206,5202.0,2747.8
15,4724,47152,2182.0,118.45
150,6116,61116,3371.95,1785.65
151,2505,25395,1267.8,94.0
152,9487,94699,4234.5,2216.8
153,3576,35297,1568.95,82.8
154,3721,36235,1865.6,173.85
155,7023,70553,3763.35,2014.45
156,3747,36380,2080.0,186.7
157,1571,15733,527.55,289.75
158,2764,27687,1378.35,96.45
159,4013,40011,1836.1,121.95
16,7686,76559,3152.2,157.8
160,836,8494,415.75,49.55
161,8451,84310,3803.55,1923.3
162,9221,92775,4875.4,2496.1
163,3108,31092,1717.65,926.0
164,8928,89239,4243.4,146.15
165,2730,26652,1373.55,137.65
166,8023,79463,3207.05,1645.7
167,9100,90851,4382.85,2254.4
168,9365,92380,4997.35,222.45
169,6826,67470,3968.0,83.65
17,6779,65920,3636.45,283.2
170,3068,29782,1208.75,36.6
171,3899,38285,2238.45,143.95
172,3815,37893,1672.55,100.35
173,3112,30047,1451.55,146.6
174,5706,57031,3104.7,117.8
175,8661,85689,4000.65,79.1
176,5819,57971,2941.5,1539.8
177,3710,36902,1839.8,87.2
178,9314,92942,4537.9,178.5
179,5417,53646,2440.1,1285.95
18,3456,34671,1455.2,709.75
180,1774,17350,993.7,75.4
181,7416,74475,3774.7,1959.55
182,9826,96121,4601.7,276.1
183,6822,67658,4322.4,2220.1
184,4551,44280,2704.55,76.7
185,1176,11716,496.8,58.65
186,6624,64858,2901.9,210.15
187,2540,24588,1300.2,150.7
188,9559,93388,5436.4,247.3
189,5879,58854,2355.75,1177.25
19,9155,91796,3651.15,147.15
190,9941,97362,5159.55,320.85
191,5094,49650,2945.2,250.15
192,4069,40177,2178.25,80.15
193,1918,18418,899.7,57.05
194,6088,60821,3522.6,1795.7
195,6437,64278,4094.2,165.25
196,5334,52015,3352.75,248.15
197,1658,16498,1093.55,94.15
198,6246,61275,2531.8,205.35
199,4865,47286,2414.15,192.9
2,3254,32265,1840.7,98.05
20,6477,64738,3482.9,1833.35
200,6993,70073,3903.15,2081.2
201,5385,53550,2247.05,101.5
202,1846,18675,890.2,86.5
203,9044,88532,4937.4,321.2
204,7679,75011,3810.05,258.0
205,2085,20855,1194.3,666.5
206,7210,72398,3153.5,1597.1
207,4938,48292,2832.65,249.4
208,1967,19086,899.7,108.85
209,7861,77483,4027.6,100.1
21,2003,20027,645.3,64.65
210,4214,40983,2457.15,233.0
211,8349,83614,3714.05,161.7
212,8325,83426,3438.6,124.95
213,3239,32249,1094.85,72.35
214,938,9318,398.5,48.85
215,6221,60953,3408.35,137.6
216,7019,68691,4018.5,245.6
217,4189,40451,2400.35,107.0
218,1999,19589,944.7,125.8
219,4107,39923,1866.15,160.95
22,8299,82993,4204.8,178.95
220,861,8212,394.35,41.6
221,1552,15583,958.8,490.85
222,647,6341,369.2,62.9
223,7961,78161,3302.8,228.5
224,1726,16763,829.6,55.05
225,1163,11502,554.55,39.5
226,9265,92217,4385.0,157.55
227,4484,44913,2314.15,142.0
228,3778,37853,1801.75,108.35
229,4153,40821,1798.45,83.65
23,5554,55953,2738.35,1394.45
230,2399,24187,1079.0,82.7
